Event,Days,Site,Reef,Array,Subs,Tag,Position,Sed 1,Sed 2,Sed 3,Sed 4,Sed 5,Sed 6
1 Month,30,JA6,Nearshore,G24,Low,50,2,2,1,0,0,1,2
1 Month,30,JA6,Nearshore,G24,Low,50,4,2,4,1,2,3,3
1 Month,30,JA6,Nearshore,G24,Low,1071,2,1,1,0,0,2,2
1 Month,30,JA6,Nearshore,G24,Low,1071,4,3,2,2,1,3,5
1 Month,30,JA6,Nearshore,G24,Low,1083,2,4,3,6,4,4,4
1 Month,30,JA6,Nearshore,G24,Low,1083,4,3,3,5,3,4,2
1 Month,30,JA6,Nearshore,G24,High,923,2,1,0,0,1,1,0
1 Month,30,JA6,Nearshore,G24,High,923,4,0,0,0,1,0,0
1 Month,30,JA6,Nearshore,G24,High,65,2,2,1,0,3,0,0
1 Month,30,JA6,Nearshore,G24,High,65,4,2,3,1,0,1,1
1 Month,30,JA6,Nearshore,G24,High,60,2,2,2,0,0,0,0
1 Month,30,JA6,Nearshore,G24,High,60,4,0,1,0,0,0,0
1 Month,30,JA6,Nearshore,G24,High,59,2,2,0,2,3,1,1
1 Month,30,JA6,Nearshore,G24,High,59,4,0,0,0,0,0,0
1 Month,30,Clip,Artificial Reef,CI2,Low,891,2,2,3,3,3,2,1
1 Month,30,Clip,Artificial Reef,CI2,Low,891,4,3,2,2,1,1,1
1 Month,30,Clip,Artificial Reef,CI2,Low,852,2,4,4,0,1,1,3
1 Month,30,Clip,Artificial Reef,CI2,Low,852,4,2,0,0,1,3,1
1 Month,30,Clip,Artificial Reef,CI2,Low,863,2,3,2,3,1,1,1
1 Month,30,Clip,Artificial Reef,CI2,Low,863,4,1,4,1,0,1,0
1 Month,30,Clip,Artificial Reef,CI2,Low,864,2,5,2,5,4,2,1
1 Month,30,Clip,Artificial Reef,CI2,Low,864,4,2,1,0,2,1,0
1 Month,30,Clip,Artificial Reef,CI2,Low,860,2,3,0,0,1,0,0
1 Month,30,Clip,Artificial Reef,CI2,Low,860,4,0,0,0,0,0,0
1 Month,30,Clip,Artificial Reef,CI2,Low,892,2,3,5,4,2,2,3
1 Month,30,Clip,Artificial Reef,CI2,Low,892,4,1,3,1,1,0,0
1 Month,30,Clip,Artificial Reef,CI2,Low,893,2,0,0,0,0,3,2
1 Month,30,Clip,Artificial Reef,CI2,Low,893,4,0,2,4,0,1,0
1 Month,30,Clip,Artificial Reef,CI2,Low,1181,2,3,1,0,0,1,2
1 Month,30,Clip,Artificial Reef,CI2,Low,1181,4,3,5,5,1,1,1
1 Month,30,Clip,Artificial Reef,XC8,High,871,2,0,0,1,1,0,1
1 Month,30,Clip,Artificial Reef,XC8,High,871,4,0,0,0,0,1,0
1 Month,30,Clip,Artificial Reef,XC8,High,882,2,0,1,0,1,1,0
1 Month,30,Clip,Artificial Reef,XC8,High,882,4,1,1,1,1,1,0
1 Month,30,Clip,Artificial Reef,XC8,High,861,2,1,1,1,2,0,1
1 Month,30,Clip,Artificial Reef,XC8,High,861,4,1,1,1,0,0,0
1 Month,30,Clip,Artificial Reef,XC8,High,881,2,2,2,1,1,1,1
1 Month,30,Clip,Artificial Reef,XC8,High,881,4,1,1,2,1,2,1
1 Month,30,Clip,Artificial Reef,XC8,High,872,2,2,0,0,1,1,0
1 Month,30,Clip,Artificial Reef,XC8,High,872,4,3,4,2,3,1,1
