Structure ID,Cluster,Column,Position,Species,Type,Structure,Genotype,Size,Interval 1,Interval 2,Absolute_Change,Percent_Change,Relative Growth,Relative Growth/month,Relative growth/yr,SQRT Interval 1 ,SQRT Interval 2,AMR1,AMR2,Linear Extension (cm/month),Yearly ext (cm/year),Change in AMR,Yearly ext mm
Morg Treeman,A,8,7,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.133,0,-0.133,-100.0,-100,-16.66666667,-200,0.364691651,0,0.116084958,0,-0.019347493,-0.232169916,-0.116084958,-2.321699156
Morg Treeman,B,8,14,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.092,0,-0.092,-100.0,-100,-16.66666667,-200,0.303315018,0,0.096548169,0,-0.016091361,-0.193096338,-0.096548169,-1.930963376
Morg Treeman,B,8,16,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.236,0,-0.236,-100.0,-100,-16.66666667,-200,0.485798312,0,0.154634405,0,-0.025772401,-0.309268811,-0.154634405,-3.092688108
Morg Treeman,B,8,17,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.111,0,-0.111,-100.0,-100,-16.66666667,-200,0.333166625,0,0.10605023,0,-0.017675038,-0.212100461,-0.10605023,-2.12100461
Morg Treeman,B,8,18,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.458,0,-0.458,-100.0,-100,-16.66666667,-200,0.676756973,0,0.215418435,0,-0.035903072,-0.43083687,-0.215418435,-4.308368699
Morg Treeman,B,8,21,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.133,0,-0.133,-100.0,-100,-16.66666667,-200,0.364691651,0,0.116084958,0,-0.019347493,-0.232169916,-0.116084958,-2.321699156
Morg Treeman,B,8,22,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.063,0.219,0.156,247.6,247.6190476,41.26984127,495.2380952,0.250998008,0.467974358,0.079895147,0.148960865,0.011510953,0.138131435,0.069065717,1.381314347
Morg Treeman,B,8,23,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.385,1.797,1.412,366.8,366.7532468,61.12554113,733.5064935,0.620483682,1.340522286,0.19750609,0.426701496,0.038199234,0.458390812,0.229195406,4.583908122
Morg Treeman,B,8,24,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.19,0,-0.19,-100.0,-100,-16.66666667,-200,0.435889894,0,0.138748063,0,-0.023124677,-0.277496125,-0.138748063,-2.774961253
Morg Treeman,A,9,4,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.14,1.736,1.596,1140.0,1140,190,2280,0.374165739,1.317573527,0.119100654,0.41939668,0.050049338,0.600592052,0.300296026,6.005920517
Morg Treeman,A,9,9,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.05,0,-0.05,-100.0,-100,-16.66666667,-200,0.223606798,0,0.071176254,0,-0.011862709,-0.142352509,-0.071176254,-1.423525087
Morg Treeman,B,9,15,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.061,0,-0.061,-100.0,-100,-16.66666667,-200,0.246981781,0,0.078616743,0,-0.01310279,-0.157233485,-0.078616743,-1.57233485
Morg Treeman,B,9,16,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.307,0,-0.307,-100.0,-100,-16.66666667,-200,0.554075807,0,0.176367807,0,-0.029394635,-0.352735614,-0.176367807,-3.527356142
Morg Treeman,B,9,17,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.06,0,-0.06,-100.0,-100,-16.66666667,-200,0.244948974,0,0.07796968,0,-0.012994947,-0.15593936,-0.07796968,-1.559393602
Morg Treeman,B,9,18,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.951,2.422,1.471,154.7,154.679285,25.77988083,309.3585699,0.975192289,1.55627761,0.310413346,0.495378549,0.030827534,0.369930405,0.184965203,3.699304051
Morg Treeman,B,9,20,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.114,0,-0.114,-100.0,-100,-16.66666667,-200,0.33763886,0,0.107473787,0,-0.017912298,-0.214947574,-0.107473787,-2.149475744
Morg Treeman,B,9,21,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.087,0,-0.087,-100.0,-100,-16.66666667,-200,0.294957624,0,0.093887928,0,-0.015647988,-0.187775855,-0.093887928,-1.877758555
Morg Treeman,B,9,22,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.059,0,-0.059,-100.0,-100,-16.66666667,-200,0.242899156,0,0.077317203,0,-0.0128862,-0.154634405,-0.077317203,-1.546344054
Morg Treeman,B,9,23,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.125,0,-0.125,-100.0,-100,-16.66666667,-200,0.353553391,0,0.11253954,0,-0.01875659,-0.225079079,-0.11253954,-2.25079079
Tree Rex,A,1,2,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.067,0.095,0.028,41.8,41.79104478,6.965174129,83.58208955,0.258843582,0.3082207,0.082392471,0.098109696,0.002619537,0.03143445,0.015717225,0.314344496
Tree Rex,A,1,4,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.054,0.147,0.093,172.2,172.2222222,28.7037037,344.4444444,0.232379001,0.38340579,0.073968533,0.122041853,0.00801222,0.09614664,0.04807332,0.961466403
Tree Rex,A,1,5,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.044,0,-0.044,-100.0,-100,-16.66666667,-200,0.20976177,0,0.066769245,0,-0.011128208,-0.13353849,-0.066769245,-1.3353849
Tree Rex,A,1,7,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.081,0,-0.081,-100.0,-100,-16.66666667,-200,0.284604989,0,0.090592582,0,-0.015098764,-0.181185164,-0.090592582,-1.811851636
Tree Rex,A,1,8,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.067,0,-0.067,-100.0,-100,-16.66666667,-200,0.258843582,0,0.082392471,0,-0.013732079,-0.164784942,-0.082392471,-1.647849423
Tree Rex,A,1,10,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.01,0,-0.01,-100.0,-100,-16.66666667,-200,0.1,0,0.031830989,0,-0.005305165,-0.063661977,-0.031830989,-0.636619772
Tree Rex,A,1,11,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.032,0,-0.032,-100.0,-100,-16.66666667,-200,0.178885438,0,0.056941003,0,-0.009490167,-0.113882007,-0.056941003,-1.138820069
Tree Rex,B,1,15,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.034,0,-0.034,-100.0,-100,-16.66666667,-200,0.184390889,0,0.058693443,0,-0.00978224,-0.117386886,-0.058693443,-1.173868859
Tree Rex,B,1,16,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.016,0,-0.016,-100.0,-100,-16.66666667,-200,0.126491106,0,0.04026337,0,-0.006710562,-0.080526739,-0.04026337,-0.805267394
Tree Rex,B,1,17,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.056,0,-0.056,-100.0,-100,-16.66666667,-200,0.236643191,0,0.075325867,0,-0.012554311,-0.150651735,-0.075325867,-1.506517346
Tree Rex,B,1,18,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.012,0,-0.012,-100.0,-100,-16.66666667,-200,0.109544512,0,0.034869101,0,-0.005811517,-0.069738202,-0.034869101,-0.69738202
Tree Rex,B,1,19,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.022,0,-0.022,-100.0,-100,-16.66666667,-200,0.14832397,0,0.047212986,0,-0.007868831,-0.094425972,-0.047212986,-0.944259719
Tree Rex,B,1,21,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.023,0,-0.023,-100.0,-100,-16.66666667,-200,0.151657509,0,0.048274084,0,-0.008045681,-0.096548169,-0.048274084,-0.965481688
Tree Rex,B,1,22,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.023,0,-0.023,-100.0,-100,-16.66666667,-200,0.151657509,0,0.048274084,0,-0.008045681,-0.096548169,-0.048274084,-0.965481688
Tree Rex,B,1,24,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.014,0.256,0.242,1728.6,1728.571429,288.0952381,3457.142857,0.118321596,0.505964426,0.037662934,0.161053479,0.020565091,0.24678109,0.123390545,2.467810902
Tree Rex,A,3,2,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.05,0,-0.05,-100.0,-100,-16.66666667,-200,0.223606798,0,0.071176254,0,-0.011862709,-0.142352509,-0.071176254,-1.423525087
Tree Rex,A,3,3,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.076,0.99,0.914,1202.6,1202.631579,200.4385965,2405.263158,0.275680975,0.994987437,0.08775198,0.316714338,0.038160393,0.457924716,0.228962358,4.579247161
Tree Rex,A,3,4,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.103,0.847,0.744,722.3,722.3300971,120.3883495,1444.660194,0.320936131,0.920326029,0.102157143,0.292948874,0.031798622,0.381583461,0.19079173,3.815834607
Tree Rex,A,3,5,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.071,0,-0.071,-100.0,-100,-16.66666667,-200,0.266458252,0,0.084816296,0,-0.014136049,-0.169632592,-0.084816296,-1.696325917
Tree Rex,A,3,6,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.047,0.186,0.139,295.7,295.7446809,49.29078014,591.4893617,0.216794834,0.431277173,0.069007939,0.137279788,0.011378641,0.136543698,0.068271849,1.365436979
Tree Rex,A,3,7,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.009,0,-0.009,-100.0,-100,-16.66666667,-200,0.09486833,0,0.030197527,0,-0.005032921,-0.060395055,-0.030197527,-0.603950545
Tree Rex,A,3,9,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.013,0.612,0.599,4607.7,4607.692308,767.9487179,9215.384615,0.114017543,0.782304289,0.036292911,0.249015189,0.035453713,0.425444556,0.212722278,4.254445562
Tree Rex,A,3,10,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.124,0,-0.124,-100.0,-100,-16.66666667,-200,0.352136337,0,0.112088477,0,-0.018681413,-0.224176955,-0.112088477,-2.241769549
Tree Rex,A,3,12,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.06,0,-0.06,-100.0,-100,-16.66666667,-200,0.244948974,0,0.07796968,0,-0.012994947,-0.15593936,-0.07796968,-1.559393602
Tree Rex,B,3,15,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.105,0.349,0.244,232.4,232.3809524,38.73015873,464.7619048,0.324037035,0.59076222,0.103144192,0.188045455,0.014150211,0.169802526,0.084901263,1.698025263
Tree Rex,B,3,16,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.037,0,-0.037,-100.0,-100,-16.66666667,-200,0.192353841,0,0.061228129,0,-0.010204688,-0.122456258,-0.061228129,-1.224562582
Tree Rex,B,3,17,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.035,0,-0.035,-100.0,-100,-16.66666667,-200,0.187082869,0,0.059550327,0,-0.009925054,-0.119100654,-0.059550327,-1.191006537
Tree Rex,B,3,18,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.052,0.255,0.203,390.4,390.3846154,65.06410256,780.7692308,0.228035085,0.504975247,0.072585822,0.160738613,0.014692132,0.176305583,0.088152791,1.763055828
Tree Rex,B,3,19,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.146,0.608,0.462,316.4,316.4383562,52.73972603,632.8767123,0.382099463,0.779743548,0.121626037,0.24820008,0.021095674,0.253148086,0.126574043,2.531480863
Tree Rex,B,3,21,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.038,0,-0.038,-100.0,-100,-16.66666667,-200,0.194935887,0,0.06205002,0,-0.01034167,-0.12410004,-0.06205002,-1.241000399
Tree Rex,B,3,23,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.064,0,-0.064,-100.0,-100,-16.66666667,-200,0.252982213,0,0.080526739,0,-0.013421123,-0.161053479,-0.080526739,-1.610534787
Tree Rex,B,3,24,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.133,0.334,0.201,151.1,151.1278195,25.18796992,302.2556391,0.364691651,0.577927331,0.116084958,0.183959983,0.011312504,0.13575005,0.067875025,1.357500504
Tree Rex,A,7,1,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.195,0,-0.195,-100.0,-100,-16.66666667,-200,0.441588043,0,0.14056184,0,-0.023426973,-0.28112368,-0.14056184,-2.811236796
Tree Rex,A,7,2,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Small,0.07,0,-0.07,-100.0,-100,-16.66666667,-200,0.264575131,0,0.08421688,0,-0.014036147,-0.16843376,-0.08421688,-1.684337597
Tree Rex,A,7,3,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.111,0,-0.111,-100.0,-100,-16.66666667,-200,0.333166625,0,0.10605023,0,-0.017675038,-0.212100461,-0.10605023,-2.12100461
Tree Rex,A,7,4,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.27,0,-0.27,-100.0,-100,-16.66666667,-200,0.519615242,0,0.165398669,0,-0.027566445,-0.330797337,-0.165398669,-3.307973373
Tree Rex,A,7,6,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.265,2.047,1.782,672.5,672.4528302,112.0754717,1344.90566,0.514781507,1.430734077,0.163860043,0.455416801,0.048592793,0.583113517,0.291556758,5.831135168
Tree Rex,A,7,7,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.172,0,-0.172,-100.0,-100,-16.66666667,-200,0.414728827,0,0.132012286,0,-0.022002048,-0.264024571,-0.132012286,-2.640245715
Tree Rex,A,7,8,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.163,0,-0.163,-100.0,-100,-16.66666667,-200,0.403732585,0,0.128512073,0,-0.021418679,-0.257024146,-0.128512073,-2.570241462
Tree Rex,A,7,9,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.22,1.033,0.813,369.5,369.5454545,61.59090909,739.0909091,0.469041576,1.016366076,0.149300571,0.32351937,0.029036467,0.348437598,0.174218799,3.484375985
Tree Rex,B,7,16,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Large,0.232,0,-0.232,-100.0,-100,-16.66666667,-200,0.481663783,0,0.153318344,0,-0.025553057,-0.306636688,-0.153318344,-3.06636688
Tree Rex,B,7,17,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.109,1.077,0.968,888.1,888.0733945,148.0122324,1776.146789,0.33015148,1.037786105,0.10509048,0.330337577,0.037541183,0.450494194,0.225247097,4.504941937
Tree Rex,B,7,18,D. labyrinthiformis Juvenile,Recruit,Tree,NA,Medium,0.121,1.166,1.045,863.6,863.6363636,143.9393939,1727.272727,0.347850543,1.079814799,0.110724267,0.343715726,0.03883191,0.465982918,0.232991459,4.659829182
