Event,Site,Reef,Nursery,Array,Position,Tag,Frag,Status,Area
2 Year,JA4,Inner Reef,Mod,G37,High,874,2,1,0.315
2 Year,JA4,Inner Reef,Mod,G37,High,874,3,1,0.486
2 Year,JA4,Inner Reef,Mod,G37,High,874,4,1,0.422
2 Year,JA4,Inner Reef,Mod,G37,Low,859,1,0,1.052
2 Year,JA4,Inner Reef,Mod,G37,Low,859,2,0,1.938
2 Year,JA4,Inner Reef,Mod,G37,Low,859,3,0,1.118
2 Year,JA4,Inner Reef,Mod,G37,Low,859,4,0,1.582
2 Year,JA6,Nearshore,Mod,X17,Low,419,1,0,2.103
2 Year,JA6,Nearshore,Mod,X17,Low,419,2,0,0.445
2 Year,JA6,Nearshore,Mod,X17,Low,419,3,1,1.09
2 Year,JA6,Nearshore,Mod,X17,Low,419,4,1,0.271
2 Year,JA6,Nearshore,Mod,X17,High,355,1,0,1.865
2 Year,JA6,Nearshore,Mod,X17,High,355,2,1,1.219
2 Year,JA6,Nearshore,Mod,X17,High,355,3,1,1.235
2 Year,JA6,Nearshore,Mod,X17,High,355,4,0,1.859
2 Year,JA6,Nearshore,Tree,X17,High,441,1,0,2.275
2 Year,JA6,Nearshore,Tree,X17,High,441,2,0,1.501
2 Year,JA6,Nearshore,Tree,X17,High,441,3,0,3.742
2 Year,JA6,Nearshore,Tree,X17,High,441,4,0,3.308
2 Year,JA6,Nearshore,Mod,X17,High,910,1,0,1.752
2 Year,JA6,Nearshore,Mod,X17,High,910,2,0,1.643
2 Year,JA6,Nearshore,Mod,X17,High,910,3,0,0.73
2 Year,JA6,Nearshore,Mod,X17,High,910,4,0,0.868
2 Year,JA6,Nearshore,Mod,X17,Low,427,1,1,1.671
2 Year,JA6,Nearshore,Mod,X17,Low,427,2,1,0.593
2 Year,JA6,Nearshore,Mod,X17,Low,427,3,1,0.842
2 Year,JA6,Nearshore,Mod,X17,Low,427,4,0,1.313
2 Year,JA6,Nearshore,Tree,X17,High,409,1,0,2.714
2 Year,JA6,Nearshore,Tree,X17,High,409,2,0,0.443
2 Year,JA6,Nearshore,Tree,X17,High,409,3,0,3.267
2 Year,JA6,Nearshore,Tree,X17,High,409,4,0,1.947
2 Year,JA6,Nearshore,Tree,X17,Low,924,1,1,0.841
2 Year,JA6,Nearshore,Tree,X17,Low,924,2,1,0.801
2 Year,JA6,Nearshore,Tree,X17,Low,924,3,0,0.278
2 Year,JA6,Nearshore,Tree,X17,Low,924,4,0,1.308
2 Year,JA6,Nearshore,Table,X17,High,931,1,0,1.217
2 Year,JA6,Nearshore,Table,X17,High,931,2,1,0.9
2 Year,JA6,Nearshore,Table,X17,High,931,3,0,4.46
2 Year,JA6,Nearshore,Table,X17,High,931,4,1,1.921
2 Year,JA6,Nearshore,Mod,X17,Low,914,1,1,0.537
2 Year,JA6,Nearshore,Mod,X17,Low,914,2,0,0.484
2 Year,JA6,Nearshore,Mod,X17,Low,914,4,0,0.222
2 Year,JA6,Nearshore,Mod,X17,Low,423,1,0,0.746
2 Year,JA6,Nearshore,Table,X17,Low,423,2,0,0.578
2 Year,JA6,Nearshore,Table,X17,Low,423,3,1,0.91
2 Year,JA6,Nearshore,Table,X17,Low,423,4,1,0.151
2 Year,JA6,Nearshore,Mod,X17,High,455,1,1,1.346
2 Year,JA6,Nearshore,Mod,X17,High,455,2,0,1.666
2 Year,JA6,Nearshore,Mod,X17,High,455,3,0,0.605
2 Year,JA6,Nearshore,Mod,X17,High,455,4,1,1.85
2 Year,JA6,Nearshore,Mod,X17,Low,933,1,0,2.035
2 Year,JA6,Nearshore,Mod,X17,Low,933,2,0,1.888
2 Year,JA6,Nearshore,Mod,X17,Low,933,3,0,0.981
2 Year,JA6,Nearshore,Mod,X17,Low,933,4,1,3.679
2 Year,JA6,Nearshore,Mod,G24,High,49,1,1,0.387
2 Year,JA6,Nearshore,Tree,G24,High,49,2,0,0.95
2 Year,JA6,Nearshore,Mod,G24,High,49,3,1,0.385
2 Year,JA6,Nearshore,Mod,G24,High,49,4,0,1.371
2 Year,JA6,Nearshore,Mod,G24,Low,57,1,1,0.875
2 Year,JA6,Nearshore,Mod,G24,Low,57,2,0,2.182
2 Year,JA6,Nearshore,Mod,G24,Low,57,3,1,0.409
2 Year,JA6,Nearshore,Mod,G24,Low,57,4,0,0.321
